Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,y1,y2,y3,y4,Unnamed: 11,Unnamed: 12,y
23029,64464,44805.70347,support.eu@aspiegel.com,refund request,re,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault
23025,64447,44805.68333,support.eu@aspiegel.com,unreceived huawei points,,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
23025,64468,44805.71458,support.eu@aspiegel.com,unreceived huawei points,,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
23024,64446,44805.68264,support.pt@aspiegel.com,appgallery questions et suggestions,i,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others,,,Suggestion
23024,64465,44805.70556,support.pt@aspiegel.com,appgallery questions et suggestions,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others,,,Suggestion
23021,64426,44805.64931,support.pt@aspiegel.com,appgallery problems and suggestionsї appgallery проблеми та пропозиції,i,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault
23017,64414,44805.63333,support.eu@aspiegel.com,refund request,re,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault
23017,64443,44805.67847,support.eu@aspiegel.com,refund request,,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault
23012,64379,44805.6125,support.pt@aspiegel.com,appgallery problems and suggestions,e,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
23012,64388,44805.61736,support.eu@aspiegel.com,informations,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
23007,64360,44805.60556,support.eu@aspiegel.com,unreceived huawei points,s,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
23007,64396,44805.62014,support.eu@aspiegel.com,unreceived huawei points,,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
23003,64352,44805.58333,support.pt@aspiegel.com,appgallery probleme și sugestii,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault
23003,64386,44805.61736,support.pt@aspiegel.com,appgallery probleme și sugestii,i,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others,,,Suggestion
23002,64348,44805.57361,support.eu@aspiegel.com,aspiegel support issue submit,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
23002,64355,44805.60139,support.eu@aspiegel.com,jetaudio+,e,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault
22994,64318,44805.52917,support.pt@aspiegel.com,appgallery problems and suggestions,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Suggestion,General,Others,,,Suggestion
22994,64321,44805.53472,support.pt@aspiegel.com,appgallery problems and suggestions,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Others,,,,,Others
22983,64260,44805.44514,support.pt@aspiegel.com,appgallery probleme și sugestii,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault
22983,64268,44805.45764,support.pt@aspiegel.com,appgallery probleme și sugestii,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
22982,64259,44805.44514,support.pt@aspiegel.com,problems and suggestions متجر التطبيقات المشاكل والاقتراحات,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Others,,,,,Others
22980,64253,44805.44097,support.eu@aspiegel.com,aspiegel support issue submit,,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Others,,,,,Others
22980,64265,44805.45486,support.de@aspiegel.com,gt3,,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Others,,,,,Others
22980,64271,44805.46597,support.de@aspiegel.com,gt3,,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Others,,,,,Others
22980,64280,44805.47292,support.de@aspiegel.com,gt3,,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Others,,,,,Others
22980,64289,44805.48889,support.de@aspiegel.com,gt3,,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Others,,,,,Others
22978,64246,44805.43056,support.pt@aspiegel.com,appgallery problems and suggestions,e,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault
22978,64255,44805.44375,support.eu@aspiegel.com,appgallery problems and suggestions,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Others,,,,,Others
22977,64245,44805.43056,support.pt@aspiegel.com,appgallery problems and suggestions,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault
22972,64235,44805.42292,support.pt@aspiegel.com,appgallery probleme și sugestii,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault
22972,64242,44805.43056,support.pt@aspiegel.com,appgallery probleme și sugestii,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
22964,64204,44805.38125,support.pt@aspiegel.com,bonus place my appgallery проблемы и предложения,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
22964,64211,44805.39028,support.pt@aspiegel.com,bonus place my appgallery проблемы и предложения,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
22964,64204,,support.pt@aspiegel.com,bonus place my appgallery проблемы и предложения,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
22963,64202,44805.38125,support.pt@aspiegel.com,appgallery проблемы и предложения,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
22963,64209,44805.38819,support.pt@aspiegel.com,appgallery проблемы и предложения,a,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
22962,64200,44805.38125,support.eu@aspiegel.com,vip september special ch,,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Problem/Fault,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Problem/Fault
22962,64225,44805.40833,support.eu@aspiegel.com,vip september special ch,,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Problem/Fault,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Problem/Fault
22962,64230,44805.4125,support.eu@aspiegel.com,vip september special ch,,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Problem/Fault,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Problem/Fault
22962,64411,44805.63194,support.eu@aspiegel.com,vip september special ch,,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Problem/Fault,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Problem/Fault
22962,64425,44805.64931,support.eu@aspiegel.com,vip september special ch,,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Problem/Fault,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Problem/Fault
22962,64469,44805.72361,support.eu@aspiegel.com,reply,,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Others,,,,,Others
22959,64193,44805.36806,support.pt@aspiegel.com,g appgallery problem och försla ap appgallery problems and suggestionspgallery problem och förslag,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,General,Security issue / malware,,,Problem/Fault
22959,64406,44805.62361,support.pt@aspiegel.com,appgallery problem och förslag appgallery problems and suggestions,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Others,,,,,Others
22956,64184,44805.35764,support.eu@aspiegel.com,problème cashback,,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
22956,64195,44805.37083,support.eu@aspiegel.com,problème cashback,t,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
22948,64155,44805.33194,support.pt@aspiegel.com,appgallery problémák és javaslatok,om,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
22948,64157,44805.33611,support.pt@aspiegel.com,appgallery problémák és javaslatok,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
22944,64148,44805.27708,support.eu@aspiegel.com,aspiegel support issue submit,,AppGallery &amp; Games /  Refund request: unwanted subscription/ item/ app,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault
22944,64216,44805.39722,support.eu@aspiegel.com,aspiegel support issue submit,,AppGallery &amp; Games /  Refund request: unwanted subscription/ item/ app,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault
22943,64147,44805.20972,support.pt@aspiegel.com,appgallery problems and suggestions,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,General,Others,,,Suggestion
22943,64213,44805.39514,support.pt@aspiegel.com,appgallery problems and suggestions,e,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
22938,64257,44805.44722,support.pt@aspiegel.com,appgallery probleme și sugestii,u,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Suggestion,General,Others,,,Suggestion
22935,64164,44805.34306,support.eu@aspiegel.com,problems and suggestions,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,General,Others,,,Suggestion
22931,64270,44805.46667,support.pt@aspiegel.com,envio de recompensa resgatada sending redeemed rewards,,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Suggestion
22931,64278,44805.46944,support.pt@aspiegel.com,envio de recompensa resgatada sending redeemed rewards,id,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Suggestion
22931,64290,44805.49097,support.pt@aspiegel.com,envio de recompensa resgatada sending redeemed rewards,,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Suggestion
22931,64537,44805.85,support.pt@aspiegel.com,envio de recompensa resgatada sending redeemed rewards,,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Suggestion
22928,64311,44805.52222,support.de@aspiegel.com,update,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Use,UI Abnormal in Huawei AppGallery,,,Problem/Fault
22928,64533,44805.8375,support.de@aspiegel.com,update,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Use,UI Abnormal in Huawei AppGallery,,,Problem/Fault
22928,64535,44805.84167,support.de@aspiegel.com,update,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Use,UI Abnormal in Huawei AppGallery,,,Problem/Fault
22926,64180,44805.35556,support.es1@aspiegel.com,puntos huawei,,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
22926,64224,44805.40208,support.es1@aspiegel.com,puntos huawei,,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
22926,64238,44805.42569,support.es1@aspiegel.com,puntos huawei,,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
22926,64320,44805.53333,support.es1@aspiegel.com,puntos huawei,,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
22926,64322,44805.53611,support.es1@aspiegel.com,puntos huawei,,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
22924,64153,44805.31736,support.eu@aspiegel.com,refund request,,AppGallery &amp; Games / Refund request: accidental purchase  ( item),AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault
22924,64303,44805.51042,support.eu@aspiegel.com,refund request,,AppGallery &amp; Games / Refund request: accidental purchase  ( item),AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault
22924,64323,44805.53611,support.eu@aspiegel.com,refund request,,AppGallery &amp; Games / Refund request: accidental purchase  ( item),AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault
22924,64356,44805.59722,support.eu@aspiegel.com,refund request,re,AppGallery &amp; Games / Refund request: accidental purchase  ( item),AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault
22909,64407,44805.62361,support.pt@aspiegel.com,appgallery problémák és javaslatok,e,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Others,,,,,Others
22876,64299,44805.50764,support.eu@aspiegel.com,cashback,,AppGallery &amp; Games / Huawei points missing,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
22853,64385,44805.61736,support.es1@aspiegel.com,error al obtener regalos,s,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
22836,64448,44805.68472,support.pt@aspiegel.com,appgallery problemos ir pasiūlymai,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Suggestion,Others,,,,Suggestion
22825,64434,44805.66042,support.fr@aspiegel.com,programme vip,,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
22825,64438,44805.66875,support.fr@aspiegel.com,programme vip,,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
22825,64482,44805.74167,support.fr@aspiegel.com,programme vip,,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
22825,64551,44805.97431,support.fr@aspiegel.com,programme vip,,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault
22814,64188,44805.3625,support.eu@aspiegel.com,aspiegel support issue submit,s,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Cooperated campaign issue,,,Problem/Fault
22808,64293,44805.49583,support.eu@aspiegel.com,aspiegel support issue submit,,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Cooperated campaign issue,,,Problem/Fault
22701,64522,44805.81944,support.eu@aspiegel.com,aspiegel support issue submit,,AppGallery &amp; Games / Delivery of the item request:  In- App Purchase not received,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Cooperated campaign issue,,,Problem/Fault
22591,64454,44805.69583,support.pt@aspiegel.com,appgallery problemas y sugerencias,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Use,UI Abnormal in Huawei AppGallery,,,Problem/Fault
22567,64199,44805.37708,support.pt@aspiegel.com,appgallery probleme și sugestii,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Others,,,,,Others
22555,64198,44805.375,support.pt@aspiegel.com,appgallery problems and suggestions,,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Others,,,,,Others
22481,64456,44805.69444,support.de@aspiegel.com,collecting more information,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others
22405,64292,44805.49514,support.eu@aspiegel.com,aspiegel support issue submit,d,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Cooperated campaign issue,,,Problem/Fault
22311,64297,44805.50208,support.eu@aspiegel.com,appgallery problems and suggestions,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault
21011,64226,44805.40625,support.es1@aspiegel.com,error en las campañas,,AppGallery &amp; Games / Unable to join campaign,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Cooperated campaign issue,,,Problem/Fault
23119,64738,,support.pt@aspiegel.com,re.: aspiegel support issue submit,,Campaign_Outbound_Request,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Cooperated campaign issue,,,Problem/Fault
23107,64709,,support.eu@aspiegel.com,aspiegel support issue submit,,Campaign_Outbound_Request,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Cooperated campaign issue,,,Problem/Fault
24525,69022,,support.eu@Company.com,payment of 40 euros,,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation,,,Suggestion
24525,69022,,support.eu@Company.com,payment of 40 euros,,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Refund,Within 14 days of purchase (not product issue),,,Suggestion
24496,68891,,support.eu@Company.com,résiliation de l’abonnement,,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Other,,,,Suggestion
24496,69316,,support.eu@Company.com,undelivered mail returned to sender,d,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Others,,,,,Others
24470,68803,,support.eu@Company.com,akcja company,,In-App Purchase / Suggestions &amp; Feedback,In-App Purchase ,Others,,,,,Others
23416,65532,,support.eu@Company.com,disdetta,ie,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation,,,Suggestion
23389,65457,,support.eu@Company.com,,e,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation,,,Suggestion
23269,65153,,support.eu@Company.com,revoca spesa,o,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation,,,Suggestion
23219,65004,,support.eu@Company.com,,,In-App Purchase / Unauthorised charges- bank account,In-App Purchase ,Suggestion,Payment,Query deduction details,,,Suggestion
23040,64501,44805.78125,support.eu@Company.com,company support issue submit,,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation,,,Suggestion
23040,64514,44805.79583,support.eu@Company.com,company support issue submit,,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Query deduction details,,,Suggestion
23039,64496,44805.77222,support.eu@Company.com,cancel,,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation,,,Suggestion
23039,64500,44805.77778,support.eu@Company.com,cancel,,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Query deduction details,,,Suggestion
